,file,map,date,round,tick,seconds,att_team,vic_team,att_side,vic_side,hp_dmg,arm_dmg,is_bomb_planted,bomb_site,hitbox,wp,wp_type,award,winner_team,winner_side,att_id,att_rank,vic_id,vic_rank,att_pos_x,att_pos_y,vic_pos_x,vic_pos_y,round_type,ct_eq_val,t_eq_val,avg_match_rank
0,003201673717864202280_0171883906.dem,de_dust2,09/28/2017 8:44:22 PM,1,8482,133.0582,Team 1,Team 2,CounterTerrorist,Terrorist,100,0,False,,Head,USP,Pistol,300,Team 1,CounterTerrorist,76561198085893650,17,76561198123082770,17,1473.8470000000002,1351.358,662.17,772.748,PISTOL_ROUND,2950,3850,16.0
1,003201673717864202280_0171883906.dem,de_dust2,09/28/2017 8:44:22 PM,1,8600,134.9023,Team 1,Team 2,CounterTerrorist,Terrorist,25,0,False,,RightLeg,USP,Pistol,300,Team 1,CounterTerrorist,76561198223006752,16,76561198051040004,17,-1211.723,1060.813,-1184.006,1153.343,PISTOL_ROUND,2950,3850,16.0
2,003201673717864202280_0171883906.dem,de_dust2,09/28/2017 8:44:22 PM,1,8610,135.0586,Team 2,Team 1,Terrorist,CounterTerrorist,20,0,False,,LeftLeg,Glock,Pistol,300,Team 1,CounterTerrorist,76561198051040004,17,76561198223006752,16,-1153.5839999999998,1163.131,-1198.015,1050.423,PISTOL_ROUND,2950,3850,16.0
3,003201673717864202280_0171883906.dem,de_dust2,09/28/2017 8:44:22 PM,1,8624,135.2774,Team 1,Team 2,CounterTerrorist,Terrorist,17,8,False,,Chest,USP,Pistol,300,Team 1,CounterTerrorist,76561198223006752,16,76561198051040004,17,-1173.053,1044.365,-1141.785,1190.089,PISTOL_ROUND,2950,3850,16.0
4,003201673717864202280_0171883906.dem,de_dust2,09/28/2017 8:44:22 PM,1,8632,135.4024,Team 2,Team 1,Terrorist,CounterTerrorist,12,7,False,,Chest,Glock,Pistol,300,Team 1,CounterTerrorist,76561198051040004,17,76561198223006752,16,-1142.522,1200.9669999999999,-1157.69,1050.702,PISTOL_ROUND,2950,3850,16.0
5,003201673717864202280_0171883906.dem,de_dust2,09/28/2017 8:44:22 PM,1,8676,136.0901,Team 2,Team 1,Terrorist,CounterTerrorist,12,7,False,,Chest,Glock,Pistol,300,Team 1,CounterTerrorist,76561198051040004,17,76561198223006752,16,-1186.305,1211.955,-1082.756,1107.769,PISTOL_ROUND,2950,3850,16.0
6,003201673717864202280_0171883906.dem,de_dust2,09/28/2017 8:44:22 PM,1,8686,136.2463,Team 2,Team 1,Terrorist,CounterTerrorist,12,7,False,,Chest,Glock,Pistol,300,Team 1,CounterTerrorist,76561198051040004,17,76561198223006752,16,-1169.736,1223.639,-1071.763,1121.346,PISTOL_ROUND,2950,3850,16.0
7,003201673717864202280_0171883906.dem,de_dust2,09/28/2017 8:44:22 PM,1,8696,136.4026,Team 2,Team 1,Terrorist,CounterTerrorist,15,8,False,,Stomach,Glock,Pistol,300,Team 1,CounterTerrorist,76561198051040004,17,76561198223006752,16,-1172.0330000000001,1220.779,-1062.3980000000001,1135.7730000000001,PISTOL_ROUND,2950,3850,16.0
8,003201673717864202280_0171883906.dem,de_dust2,09/28/2017 8:44:22 PM,1,8876,139.2157,Team 1,Team 2,CounterTerrorist,Terrorist,19,9,False,,Stomach,USP,Pistol,300,Team 1,CounterTerrorist,76561198081341202,16,76561198051040004,17,-1970.945,1303.599,-1316.848,1144.33,PISTOL_ROUND,2950,3850,16.0
